"name","abbrv","formula","state","ref1","ref2","date","E_units","G","H","S","Cp","V","a1.a","a2.b","a3.c","a4.d","c1.e","c2.f","omega.lambda","z.T"
"argon","Ar",Ar,gas,WEP+82,Kel60,27.Dec.89,cal,0,0,37.008,NA,0,4.968,0,0,0,0,0,0,8000
"methane","CH4",CH4,gas,WEP+82,Kel60,15.Dec.87,cal,-12122.4,-17880,44.518,NA,0,5.65,11.44,-0.46,0,0,0,0,1500
"carbon dioxide","CO2",CO2,gas,WEP+82,Kel60,27.Dec.89,cal,-94254,-94051,51.085,NA,0,10.57,2.1,-2.06,0,0,0,0,2500
"hydrogen","H2",H2,gas,WEP+82,Kel60,27.Dec.89,cal,0,0,31.234,NA,0,6.52,0.78,0.12,0,0,0,0,3000
"hydrogen sulfide","H2S",H2S,gas,WEP+82,Kel60,27.Dec.89,cal,-8021,-4931,49.185,NA,0,7.81,2.96,-0.46,0,0,0,0,2300
"helium","He",He,gas,WEP+82,Kel60,27.Dec.89,cal,0,0,30.151,NA,0,4.968,0,0,0,0,0,0,8000
"krypton","Kr",Kr,gas,WEP+82,Kel60,27.Dec.89,cal,0,0,39.217,NA,0,4.968,0,0,0,0,0,0,8000
"nitrogen","N2",N2,gas,WEP+82,Kel60,27.Dec.89,cal,0,0,45.796,NA,0,6.83,0.9,-0.12,0,0,0,0,3000
"neon","Ne",Ne,gas,WEP+82,Kel60,27.Dec.89,cal,0,0,34.973,NA,0,4.968,0,0,0,0,0,0,8000
"ammonia","NH3",NH3,gas,WEP+82,Kel60,26.Jul.89,cal,-3932,-11021,46,NA,0,7.11,6,-0.37,0,0,0,0,1800
"oxygen","O2",O2,gas,WEP+82,Kel60,27.Dec.89,cal,0,0,49.029,NA,0,7.16,1,-0.4,0,0,0,0,3000
"radon","Rn",Rn,gas,WEP+82,Kel60,27.Dec.89,cal,0,0,42.12,NA,0,4.968,0,0,0,0,0,0,3000
"sulfur","S2",S2,gas,WEP+82,Kel60,27.Dec.89,cal,18953,30681,54.54,NA,0,8.72,0.16,-0.9,0,0,0,0,3000
"sulfur dioxide","SO2",SO2,gas,WEP+82,Kel60,27.Dec.89,cal,-71748,-70944,59.33,NA,0,11.04,1.88,-1.84,0,0,0,0,2000
"xenon","Xe",Xe,gas,WEP+82,Kel60,27.Dec.89,cal,0,0,40.555,NA,0,4.968,0,0,0,0,0,0,8000
"nitric oxide",NA,NO,gas,WEP+82,AS01,17.Jun.07,cal,20690,21570,50.373,7.12,0,6.2954,1.8362,0.2488,0,0,0,0,1000
"nitrous oxide",NA,N2O,gas,WEP+82,AS01,17.Jun.07,cal,24903,19610,52.545,9.2,0,9.8334,3.5123,-1.4916,0,0,0,0,1000
"hydrogen chloride",NA,HCl,gas,RH95.1,NA,20.Feb.19,cal,-22777.2,-22060.2,44.67,6.96,0,4.1539,2.7844,-0.018157,35.3011,-0.04904,0,0,2500
"hydrogen fluoride",NA,HF,gas,RH95.1,NA,21.Feb.19,cal,-65822.2,-65320.3,41.534,6.965,0,1.636,3.1095,-0.9818,95.7696,-0.04567,0,0,2500
